prompt,chosen,rejected
How picturesque this village is!,exclamative,declarative
Can you swim well?,interrogative,declarative
What a brilliant mind!,exclamative,declarative
"Bravo, an outstanding result!",exclamative,imperative
Make new friends.,imperative,interrogative
What a stunning transformation!,exclamative,interrogative
What a memorable performance!,exclamative,imperative
"The term ""giraffe"" comes from an Arabic word meaning ""to walk swiftly.""",declarative,exclamative
So delighted!,exclamative,declarative
Join a local charity.,imperative,interrogative
"Hooray, we’re all here!",exclamative,declarative
Engage in reflective reading.,imperative,interrogative
The human body has enough iron to make a nail 3 inches long.,declarative,exclamative
"Yikes, watch your step!",exclamative,interrogative
How magnificent that sculpture is!,exclamative,declarative
What an extraordinary person you are!,exclamative,interrogative
Flip the pancake.,imperative,exclamative
How absorbing that lecture was!,exclamative,imperative
More than 10% of the world’s population is left-handed.,declarative,interrogative
Humans have a unique scent that can be recognized by dogs.,declarative,exclamative
How fantastic your insights are!,exclamative,interrogative
Bring it on!,exclamative,interrogative
Polar bears are classified as marine mammals.,declarative,exclamative
Polar bear skin is black; their fur is transparent.,declarative,exclamative
Ask for help.,imperative,exclamative
Who’s counting?,exclamative,imperative
"The term ""petrichor"" describes the smell of rain on dry ground.",declarative,exclamative
Let’s do it!,exclamative,declarative
What a fantastic vacation we had!,exclamative,interrogative
"A group of hedgehogs is referred to as a ""prickle.""",declarative,imperative
What a wonderful experience to share!,exclamative,imperative
Whee!,exclamative,declarative
"A swarm of 20,000 bees can take up to 10 gallons of honey to produce.",declarative,interrogative
Explore infinity!,exclamative,imperative
You're the best!,exclamative,interrogative
"Ah, the sweet smell of success!",exclamative,declarative
Watch a documentary.,imperative,declarative
Call your friend.,imperative,interrogative
Maintain a joyful demeanor.,imperative,interrogative
Ducks have a special membrane that protects their eyes while swimming.,declarative,exclamative
"A cat's nose print is unique, similar to a human fingerprint.",declarative,interrogative
Mercury is the smallest planet in our solar system.,declarative,exclamative
Cultivate a supportive network.,imperative,exclamative
Don't take it personally.,imperative,exclamative
The world's hardest natural substance is diamond.,declarative,imperative
Celebrate good friendships.,imperative,declarative
What a stylish outfit you wore!,exclamative,declarative
What an impressive cultural exchange!,exclamative,interrogative
"Eew, what a mess!",exclamative,interrogative
How lovely it is to see the old friends!,exclamative,declarative
Spread awareness for change.,imperative,interrogative
Cultivate your passions.,imperative,declarative
Donate your clothes.,imperative,exclamative
Octopuses can taste with their tentacles.,declarative,exclamative
Support your friends.,imperative,declarative
A pregnant goldfish is called a twit.,declarative,imperative
How charming this little café is sitting outdoors!,exclamative,declarative
"Yay, we’re on fire!",exclamative,declarative
Transcend!,exclamative,interrogative
How charming this little café is!,exclamative,declarative
What a wonderful reunion with old friends!,exclamative,declarative
"Whew, glad that’s done!",exclamative,imperative
What is your biggest dream?,interrogative,imperative
"A telescope can see distant galaxies, depending on its power.",declarative,exclamative
Horses and cows sleep while standing up.,declarative,interrogative
What a lovely memory to cherish!,exclamative,interrogative
Yikes!,exclamative,imperative
"Phew, what an accomplishment!",exclamative,interrogative
"Eek, it’s all happening fast!",exclamative,declarative
What a lovely melody this piece has!,exclamative,interrogative
"Aww, how lovely it is!",exclamative,interrogative
Nonsense!,exclamative,interrogative
"Bravo, what a turnaround!",exclamative,declarative
What an energetic dance performance!,exclamative,interrogative
Stand for your beliefs.,imperative,interrogative
Buy some groceries.,imperative,declarative
How amazing the journey has been!,exclamative,imperative
What is your favorite holiday?,interrogative,exclamative
The world's largest living tree is a sequoiadendron giganteum.,declarative,interrogative
A goat's eyes have horizontal pupils.,declarative,exclamative
Don’t leave your shoes on.,imperative,declarative
"Oops, I didn’t mean to!",exclamative,interrogative
What an impressive lineup!,exclamative,imperative
"Oh wow, a rainbow!",exclamative,declarative
Far out!,exclamative,interrogative
"Oh, blessed day!",exclamative,imperative
Cows have four stomachs for better digestion.,declarative,interrogative
"A group of rhinos is referred to as a ""crash.""",declarative,imperative
Consider every option.,imperative,interrogative
Can you ride a bike?,interrogative,declarative
"Hooray, let’s have fun!",exclamative,declarative
Right on the mark!,exclamative,declarative
"A pregnant goldfish is called a ""twit.""",declarative,exclamative
A lion's roar can be heard from five miles away.,declarative,exclamative
What a fun way to learn new skills!,exclamative,imperative
"Phew, what a challenge!",exclamative,declarative
"Amazing, what an exploration!",exclamative,declarative
Some cats are allergic to humans.,declarative,exclamative
Dream big.,imperative,exclamative
Touching!,exclamative,declarative
Instigate change.,imperative,declarative
New York is known as the Big Apple.,declarative,interrogative
How beautiful this melody is!,exclamative,interrogative
"Hooray, let the celebration begin!",exclamative,imperative
How inspiring that quote is!,exclamative,declarative
Release negative thoughts.,imperative,declarative
Do you enjoy reading?,interrogative,declarative
"Yippee, it’s going to rain!",exclamative,imperative
What a charming old tree!,exclamative,imperative
"Wow, that’s spectacular!",exclamative,imperative
"Phew, that was a struggle!",exclamative,imperative
"Yikes, that’s spicy!",exclamative,imperative
"Whoa, how fun!",exclamative,interrogative
Seek out new perspectives.,imperative,interrogative
Do you believe in soul mates?,interrogative,exclamative
Can you bake well?,interrogative,exclamative
"Amazing, what a connection!",exclamative,interrogative
Address issues thoughtfully.,imperative,exclamative
Can you play the guitar?,interrogative,exclamative
Bring the heat!,exclamative,imperative
