List 1
1.     the FATHER SELLS with BRIGHT MUSHROOMS
2.     the CITY HOSPITAL PLAYS TODAY
3.     the HOLIDAY PARK RESTS EASY
4.     the MILK is SWEET and VERY STRONG
5.     the ELEVEN MEN GROW many TOYS
6.     the BEER LOVES OLD CAKE
7.     the CHOCOLATE GARDEN OPENS OFTEN
8.     my HAT DRINKS in the CROWDED SCHOOL
9.     he WEARS his HORRIBLE CHEESE HOME
10.  the AMAZING KID is COLORFUL and WEAK
11.  a DANGEROUS WEEKEND is REALLY THIRSTY
12.  the KIDS TASTE the PARTY SALT
13.  these ANNOYING MONTHS BAKED in a GAME
14.  that DOCTOR HATES MORE CANDY
15.  the BROWN BAR LOST QUESTIONS
16.  the GIRL ATE BUSY DRESSES
17.  the SISTER and JUICE SMELLED LAZY
18.  my GRANDMOTHER WORKS the RED BATH
19.  the BEAUTIFUL GROUND ENJOYED the WORKER
20.  his VEGETABLES CARRIED in LARGE EGGS
21.  the FAST PARADE was BARELY ALIVE
22.  our TRAIN MISSED TAKING the CHEESE
23.  the GRAY SUN ASKS a STUDENT
24.  the CAT WARMS BROTHER on the PLANT
25.  my WHITE MOUSE NEEDS my PERFORMER
List 2
1.     the PEOPLE WRITE AFTER her SALAD
2.     the CLASS BROKE SCARY TWINS
3.     the UNIVERSITY SOUNDED their FIVE PLANE
4.     the GLASS NOISE OWNED FAR away
5.     that LOUD KITCHEN LEARNED to the DOG
6.     our PLACES TASTE the CHEAP BABY
7.     the SERIOUS LIGHT WORKS for DRINK
8.     some GRANDPARENTS LAND LARGE LUNCH 
9.     the LATE COUPLE MET FRUIT 
10.  the TEENAGER FORGOT WITH MONKEY 
11.  the LOST FATHER is REALLY SIMPLE
12.  the LADY SEEMS to bring COFFEE SOMETIMES
13.  a SHY COUSIN TRAVELED the PEOPLE
14.  a CHILD CHASED DOWN the OFFICE
15.  the THIRSTY DISH was EXCITED and BLACK
16.  the HUNGRY STREET UPSET the TOURIST
17.  her NOISY ACTOR KISSED GRANDPARENTS 
18.  the MINUTES and FRUIT SING AGAIN
19.  our CRUEL COUGH WALKED HORRIBLE 
20.  her NEIGHBORS are BRIGHT AND NOT SILVER
21.  the TEN PROFESSORS will AVOID in DINNER
22.  the PRIVATE STUDENTS were FRESH YOUNG
23.  the WOMAN was WEIRD in MANY PROBLEMS
24.  my PLAYERS LIVE  in the FAVORITE CAR
25.  the BEARS EAT BROWN PERFORMER  
List 3
1.     the TEENAGERS TOOK HUNGRY SNACKS 
2.     my QUEEN BURNED SONGS for the MOUSE
3.     the SHORT HORSE EXPLORED BRIGHTLY  
4.     a THEATER PLANNED FOREIGN BASEBALL 
5.     the RED LUNCH MADE the FAMILY
6.     a KING and CHEF PLAYED the BAND
7.     the MANY JOBS EAT WONDERFUL 
8.     the BLUE BUSINESS BROKE CLOTHES 
9.     the EVENING and TREE ATE the WINDOW
10.  the DARK PUPPY is NEW and ORANGE
11.  a CHRISTMAS NURSE is QUITE STRONG
12.  the USEFUL GRANDPA SELLS in the FIELD
13.  the CATS SCARED FIRE in my PATH
14.  the POPULAR RABBIT was LATE this PARTY
15.  the ARMY CREATED BIG NIGHTS 
16.  a FRESH SKY JUMPED HIGH 
17.  a BIRD ROASTS the FULL CONCERT
18.  an EXCITED BICYCLE LOVES BREAKS 
19.  the RAIN WORKS in the OPERA RESTAURANT
20.  the GLASS WAITER CHASES the MOTHER
21.  her PORK WON WILD WINE 
22.  the STORE MEANS VISITORS in the PARK
23.  the COMPUTER SINGS NERVOUS CHILDREN 
24.  the CHEAP BEAR went DOWN that BATTLE
25.  this TOURIST LOOKS EXPENSIVE MORNING  
List 4
1.        the WINDOW EATS in WILD GRASS
2.        the FEAR FOUND his TWELVE CHILDREN
3.        the HOMEMADE NIGHT WORKED FIRST 
4.        that DAUGHTER LIVES for the COLD HOME
5.        the WEEKEND is EXPENSIVE and NOT SAD
6.        the TERRIBLE ACTOR HUGS my CUSTOMER
7.        a RUDE GIRLFRIEND GREW in the NEWSPAPER
8.        the SIX PARENTS GROW WINE 
9.        the MUSICIAN FAILED GRAY TREES 
10.     his STUPID GUEST was POOR and JUICY
11.     the STUDENT and APARTMENT BRINGS the BIRD
12.     the HOT HORSE is TOO WORRIED
13.     the FOOD KNOWS the WONDERFUL HUSBAND
14.     an ATTRACTIVE WORM DRINKS by the CHEF
15.     the WELCOME BASEBALL eats PERFECTLY SMART
16.     my MEAL UPSET DARK PLANT 
17.     the KITCHEN ADULT ENJOYED OUTSIDE 
18.     the FAMILY COOKS EVERY CAKE 
19.     the HARD TEA RAN many DAYS
20.     the LAZY FATHER CUT RICE 
21.     a WIFE COMES SWEET APPLES 
22.     the TOMATO GARBAGE ONLY was BEER
23.     the SONGS SLEEP the TEST and JOKE
24.     the TALENTED ANIMALS were HIDING GRANDMOTHER
25.     the ROUND PRESIDENT SMELLED the FOREST 
List 5
1.        our BOY SMELLED AROUND the COOKIES
2.        the SALTY NEPHEW SEEMED BAD 
3.        her CHEF WORKS HAPPY NIGHT 
4.        the BUSY COFFEE BURNED EARLY 
5.        the ENGLISH DENTIST RULED the BABY
6.        the COUNTRY COUSIN ANSWERS to my BED
7.        the PROFESSOR WENT HUNGRY and LONG
8.        the NEW STUDENT WALKED EVERYONE 
9.        the POPULAR FISH is OFTEN SIMPLE
10.     a BREAKFAST SINGS in the AFTERNOON ALONE
11.     the YELLOW QUESTION is DELICIOUS and DIRTY
12.     a FULL NEIGHBOR SWAM in SONGS
13.     the TIRED DAUGHTER was VERY TINY
14.     the LAKE MADE the HOT FLY
15.     her IMPORTANT FARMER has SICK CANDY
16.     our DAY ASKED SHORT QUESTIONS 
17.     the SWEET SLEEP ENDED MARRIAGE 
18.     the ASSIGNMENT SETS the MANY JOBS
19.     the TEA STARTS from the FOOTBALL FOREST
20.     a LATE CAT BOTHERED the HOUSE
21.     the QUEEN ENJOYS SLOWLY in the MOUSE
22.     the MOTHER PREPARES SCHOOL at the KITCHEN
23.     their SANDWICH BAKES GAME TOMORROW 
24.     the MAN CHASED CORN in CLUB
25.     my GIRL RAN EVERY SUN 
 List 6
1.        this TEENAGER and BOAT CLIMBED GREAT
2.        the SKY DAMAGED EASY WIND 
3.        the MATH PLANTS SLEPT MEAN 
4.        the SPICY BUS SWIMS TREES 
5.        the OLD ADULTS DANCE the BASEBALL
6.        the MAN BAKED the MANY STARS
7.        that CAT was TROPICAL and ALWAYS RED
8.        the NIGHT CARROTS RAN VACATION 
9.        the CUTE AUNT was my COLD PUPPY
10.     the FAVORITE DISH is HEAVY and DIFFERENT
11.     the OFFICE TOOK STRANGE WRITER 
12.     the HOT PICTURES were USUALLY TINY
13.     the BEAUTIFUL TREE PLAYS on the AWARD
14.     she FELT the GRANDPARENTS ACROSS the OVEN
15.     an ANIMAL LIT COMFORTABLE SPORTS 
16.     the TALENTED RESTAURANT RECEIVED in the PIG
17.     the GIRL FLEW the KIND STREET
18.     the BLACK BEACHES are FAT to LOOK
19.     the STRANGERS PLAY on the BLUEBERRY WATER
20.     the PIE HELPS DOWN a WINE
21.     the WARM TEAMS FINISH the FLOOR
22.     the INSTRUMENTS DROVE to LIFTED in FIELD
23.     the CROWDED MUSICIAN SELLS the TEST
24.     the HOME LEARNED the QUIET BOX
25.     her SCHOOL SCARED SUNSHINE in BABY 
List 7
1.        the DRIVER EARNED FROM the EGG
2.        her CALM CHILD RAN CHEF 
3.        her LIVING SINGER SLEEPS CLEAN 
4.        the DRUMS APPRECIATED the GREAT MORNING
5.        the BRAVE BOYFRIEND MADE the DOG
6.        a PEACEFUL YEAR is EXCITING to VISIT
7.        an ACTOR is THOUGHTFUL and VERY LAST
8.        the FUNNY PETS COST NOODLES 
9.        his BOOK TASTES LAZY BUTTER 
10.     the FOREIGN DANCING was BLACK and FRESH
11.     the WATER SENT INTERESTING FANS 
12.     this PROUD SWEATER was ALWAYS READ
13.     the STARVING TV SMELLED on their PEOPLE
14.     the CLEAR MONEY was COOKED with NEWS
15.     that GROUP is for ROOM EVERY NOVEL
16.     a COMMUNITY ATE STRONG STORIES 
17.     the STRANGER CHEERED the MAN and FIGHTER
18.     the SAD PROFESSOR ENJOYED a SAUCE
19.     the DOLLARS SIT in a CHURCH DANCER
20.     the BORING PARENTS have TEN FLOWERS
21.     the CROWD and MEAT TELL the COUNTRY
22.     the LARGE FOOD INSPIRED YESTERDAY 
23.     the TEAM LOOKED KIND in the MEAL
24.     the LOVE JOINED the FRIED NEIGHBOR
25.     the BEACHES NEED WORD OFTEN  
List 8
1.        a MAN SHINED AROUND the GAME
2.        the CROWDED JUNE was NEVER BEAUTIFUL
3.        the STEAMED DOOR LOOKS PRIVATE 
4.        the SONG TASTED SCARED COUPLES 
5.        the BLUE JUICE LOSES my FIGHT
6.        her NIGHT was NEAR the NEW BROTHER
7.        the ENTIRE DOG BOUGHT SOUP 
8.        the CHICKEN WON our WOODEN WORKERS
9.        the BIRTHDAY TOY had our OLD PRIZE
10.     the PRETTY LADY is HARD and DANGEROUS
11.     the DUCK KEY was STRANGE in NEED
12.     they ENTERTAIN TWO DEEP CARS 
13.     a KIND CABBAGE SERVES to the MORNING
14.     the HOUSE EXPLANATION is OFTEN DARK
15.     a SIMPLE BEACH is the YOUNGEST SISTER
16.     the FRIENDS CLOSE SAD TV 
17.     they FOUND the GRAPE SCHOOL BRIGHTLY
18.     my GRANDFATHER SINGS EVERY APARTMENT 
19.     that TERRIBLE MAID WATCHES GIFT 
