List 1
1.     the PARK OPENS in ELEVEN MONTHS
2.     the THIRSTY KID DRINKS JUICE
3.     these BROWN MUSHROOMS TASTE AMAZING
4.     the TRAIN is FAST and VERY DANGEROUS
5.     the ANNOYING STUDENT ASKS many QUESTIONS
6.     the PERFORMER WEARS COLORFUL DRESSES
7.     a LAZY WORKER RESTS OFTEN
8.     my DOCTOR WORKS in that BUSY HOSPITAL
9.     he LOST his WHITE HAT TODAY
10.  the CITY SCHOOL is LARGE and CROWDED
11.  the WEAK PLANT is BARELY ALIVE
12.  the KIDS ENJOYED the HOLIDAY PARADE
13.  the RED VEGETABLES GROW in the GARDEN
14.  the EGGS NEED MORE SALT
15.  the OLD MEN MISSED HOME
16.  the GIRL LOVES SWEET CANDY
17.  the MILK and CHEESE SMELLED HORRIBLE
18.  my GRANDMOTHER BAKED a CHOCOLATE CAKE
19.  the BRIGHT SUN WARMS the GROUND
20.  his SISTER PLAYS with BEAUTIFUL TOYS
21.  the PARTY GAME was REALLY EASY
22.  our CAT HATES TAKING a BATH
23.  the GRAY MOUSE ATE the CHEESE
24.  the BAR SELLS BEER on the WEEKEND
25.  my STRONG FATHER CARRIED my BROTHER 
List 2
1.     the TWINS LIVE WITH their GRANDPARENTS
2.     some PEOPLE DRINK BLACK COFFEE
3.     the WOMAN MET her FAVORITE ACTOR
4.     that BRIGHT LIGHT SEEMS FAR away
5.     the GLASS DISH BROKE in the KITCHEN
6.     my COUSIN OWNED a SILVER CAR
7.     the YOUNG PERFORMER LEARNED to SING
8.     the PROFESSORS WRITE SIMPLE PROBLEMS
9.     the BROWN BEARS EAT FRUIT
10.  the COUPLE KISSED AFTER DINNER
11.  the EXCITED TEENAGER was REALLY NOISY
12.  the PLAYERS FORGOT to bring LUNCH AGAIN
13.  the WEIRD NOISE UPSET the BABY
14.  the LADY WALKED DOWN the STREET
15.  the LOST DOG was HUNGRY and THIRSTY
16.  the SCARY MONKEY CHASED the CHILD
17.  our SHY NEIGHBORS AVOID PEOPLE
18.  the FRUIT and SALAD TASTE FRESH
19.  her LOUD COUGH SOUNDED HORRIBLE
20.  her GRANDPARENTS are SERIOUS AND SOMETIMES CRUEL
21.  the FIVE STUDENTS were LATE for CLASS
22.  the PRIVATE UNIVERSITY is NOT CHEAP
23.  the PLANE will LAND in TEN MINUTES
24.  our FATHER WORKS in a LARGE OFFICE
25.  the TOURIST TRAVELED MANY PLACES
 List 3
1.     that STORE SELLS CHEAP CLOTHES
